@relation 'regressione-weka.filters.unsupervised.attribute.Reorder-R2-last,1'

@attribute shares numeric
@attribute sentiment numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute fromUser {aa,ab,ac,ba,bb,bc,ca,cb,cc,a,b,c}
@attribute tk_aa numeric
@attribute tk_ab numeric
@attribute tk_ac numeric
@attribute tk_b numeric
@attribute tk_c numeric
@attribute tk_a numeric
@attribute tk_ba numeric
@attribute tk_bb numeric
@attribute tk_bc numeric
@attribute tk_ca numeric
@attribute tk_cb numeric
@attribute tk_cc numeric
@attribute tg_ba numeric
@attribute tg_bb numeric
@attribute tg_bc numeric
@attribute tg_ca numeric
@attribute tg_cb numeric
@attribute tg_cc numeric
@attribute tg_b numeric
@attribute tg_c numeric
@attribute tg_a numeric
@attribute tg_ac numeric
@attribute tg_aa numeric
@attribute tg_ab numeric
@attribute language {en}
@attribute predictedClass {training_regressione_class_pd,training_regressione_class_m5s}
@attribute favs numeric

@data
9,0.085285,0.239077,0.477799,b,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,19
12,0.095754,0.585735,0.128974,b,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,en,training_regressione_class_m5s,10
0,0.092212,0.214259,0.750093,ac,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_pd,16
15,0.298883,0.989612,0.713737,b,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,6
2,0.173627,0.256378,0.044289,c,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,18
11,0.49095,0.382585,0.196676,aa,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_m5s,17
12,0.722808,0.149004,0.840985,bb,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,en,training_regressione_class_pd,9
3,0.379103,0.602534,0.187238,b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_m5s,3
5,0.048694,0.089543,0.533175,a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,en,training_regressione_class_m5s,12
7,0.587423,0.123971,0.534517,cc,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,en,training_regressione_class_m5s,19
10,0.013061,0.674907,0.72881,a,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_m5s,7
6,0.628651,0.688523,0.280352,bb,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,training_regressione_class_m5s,1
3,0.26905,0.274939,0.535724,a,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_pd,12
13,0.462762,0.891697,0.849835,ac,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,18
10,0.756146,0.366824,0.151882,c,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,19
9,0.124373,0.707991,0.357233,a,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,11
11,0.208338,0.371558,0.102129,ba,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,en,training_regressione_class_pd,3
6,0.289203,0.156564,0.5667,b,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,14
5,0.823582,0.643722,0.62406,cb,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_m5s,18
1,0.068142,0.519169,0.722777,bb,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,en,training_regressione_class_pd,11
14,0.605763,0.47325,0.630696,cc,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_pd,3
16,0.711527,0.847636,0.06598,bb,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,7
17,0.101568,0.327508,0.95828,ba,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,17
11,0.776321,0.919946,0.721825,ab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,training_regressione_class_m5s,11
4,0.434575,0.655765,0.404574,c,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,en,training_regressione_class_m5s,13
6,0.933122,0.680165,0.372663,c,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,en,training_regressione_class_m5s,11
11,0.974578,0.440533,0.395083,bb,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,14
18,0.923334,0.425833,0.065848,a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,en,training_regressione_class_pd,4
19,0.733057,0.256014,0.414666,a,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_pd,16
8,0.022055,0.573487,0.638031,ab,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_m5s,11
2,0.116707,0.733589,0.645153,c,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,en,training_regressione_class_m5s,11
3,0.378044,0.671811,0.064296,bb,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,en,training_regressione_class_pd,2
5,0.506879,0.121976,0.426149,a,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,18
16,0.777997,0.99146,0.638273,ca,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,training_regressione_class_pd,7
17,0.778109,0.365083,0.768786,c,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,en,training_regressione_class_pd,15
16,0.970118,0.873874,0.76206,ab,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_pd,3
12,0.380742,0.963724,0.345733,b,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,en,training_regressione_class_m5s,5
18,0.5073,0.040345,0.478117,c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,en,training_regressione_class_m5s,3
12,0.53889,0.183752,0.013552,a,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,en,training_regressione_class_m5s,12
16,0.858832,0.294544,0.917797,c,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_m5s,19
4,0.226043,0.324452,0.88734,c,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_m5s,19
19,0.872117,0.887716,0.729566,ca,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,en,training_regressione_class_m5s,9
3,0.763408,0.173891,0.003653,b,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,en,training_regressione_class_pd,8
1,0.170649,0.328817,0.866237,c,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,en,training_regressione_class_pd,17
8,0.911471,0.155347,0.171699,c,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,18
1,0.676908,0.967879,0.202973,b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,14
13,0.62313,0.245197,0.392457,b,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,en,training_regressione_class_m5s,13
10,0.829751,0.44212,0.328665,ac,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,en,training_regressione_class_pd,1
9,0.647771,0.238701,0.779884,a,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_pd,18
18,0.332775,0.347314,0.71184,b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,en,training_regressione_class_m5s,18
7,0.575158,0.062342,0.911081,cc,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,en,training_regressione_class_pd,6
4,0.162901,0.752266,0.678153,ca,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,6
0,0.001236,0.758837,0.40797,ab,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,14
3,0.220996,0.094686,0.852412,cc,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_pd,8
16,0.398523,0.413481,0.396993,ab,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,2
16,0.796925,0.675113,0.045813,bc,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_pd,11
18,0.154519,0.162657,0.540624,a,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,en,training_regressione_class_pd,12
19,0.033126,0.408804,0.318021,ac,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,15
15,0.946663,0.179216,0.679722,cb,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,7
6,0.245554,0.638535,0.614953,ca,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_pd,15
10,0.057414,0.400386,0.593747,ca,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,en,training_regressione_class_pd,4
5,0.060708,0.783439,0.848229,a,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,en,training_regressione_class_pd,12
14,0.324658,0.466129,0.490052,ca,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,training_regressione_class_m5s,8
14,0.495244,0.94801,0.220858,cc,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,en,training_regressione_class_pd,8
11,0.361277,0.55845,0.047965,a,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,en,training_regressione_class_m5s,7
18,0.074377,0.693824,0.877732,ac,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,en,training_regressione_class_m5s,12
2,0.086102,0.252152,0.586718,ba,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,en,training_regressione_class_m5s,3
18,0.879762,0.506369,0.036695,bc,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_pd,12
3,0.562302,0.923851,0.85491,ab,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_m5s,6
15,0.824245,0.370925,0.101041,a,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_m5s,11
19,0.406565,0.705409,0.992842,ac,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,0
11,0.810172,0.470729,0.504698,a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,en,training_regressione_class_pd,16
7,0.209955,0.397933,0.951165,a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,en,training_regressione_class_pd,19
12,0.061803,0.164632,0.64829,cc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,en,training_regressione_class_pd,8
19,0.109516,0.237675,0.156425,b,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,en,training_regressione_class_pd,0
3,0.19022,0.317847,0.099921,a,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,8
12,0.093803,0.896045,0.459332,ca,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,en,training_regressione_class_pd,11
11,0.517176,0.526473,0.280502,b,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,en,training_regressione_class_pd,2
14,0.267455,0.135559,0.157728,ba,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,en,training_regressione_class_m5s,3
5,0.325653,0.520983,0.513279,a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,6
19,0.761946,0.597002,0.409051,b,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,7
7,0.802139,0.011016,0.174091,cb,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,6
14,0.652607,0.636006,0.959153,ba,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,15
19,0.694023,0.695853,0.858012,ac,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,en,training_regressione_class_pd,13
14,0.823939,0.573956,0.233087,cc,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,en,training_regressione_class_pd,8
11,0.506752,0.12365,0.969874,c,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,en,training_regressione_class_m5s,6
3,0.129231,0.821548,0.328038,b,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,en,training_regressione_class_pd,0
6,0.970749,0.08088,0.554241,cc,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,16
13,0.312926,0.108431,0.690017,a,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,14
16,0.268866,0.647932,0.075215,b,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,1
9,0.293551,0.196161,0.715181,aa,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,en,training_regressione_class_pd,2
2,0.204148,0.902588,0.460838,c,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,en,training_regressione_class_pd,2
5,0.628244,0.865141,0.040987,c,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,en,training_regressione_class_pd,7
12,0.784117,0.253051,0.905265,cc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,en,training_regressione_class_pd,8
8,0.152546,0.613823,0.432402,a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,10
4,0.202211,0.648076,0.654259,b,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_pd,1
8,0.272818,0.73041,0.639293,aa,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,en,training_regressione_class_m5s,13
9,0.568511,0.18162,0.571385,a,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,en,training_regressione_class_m5s,6
18,0.770248,0.948978,0.021698,cb,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,en,training_regressione_class_m5s,18
13,0.540607,0.913848,0.949541,a,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,15
7,0.279293,0.753293,0.08779,c,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,en,training_regressione_class_m5s,18
0,0.826836,0.166035,0.769417,c,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,en,training_regressione_class_m5s,6
19,0.699876,0.062797,0.901412,ba,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,en,training_regressione_class_pd,14
19,0.167189,0.005538,0.232971,a,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,en,training_regressione_class_pd,5
18,0.115916,0.723208,0.115085,cc,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,16
10,0.292496,0.732806,0.123117,a,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,12
4,0.473032,0.236587,0.026874,bc,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,16
19,0.91846,0.64417,0.80041,b,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,2
7,0.696881,0.83478,0.692305,b,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,en,training_regressione_class_m5s,8
14,0.207819,0.537984,0.160906,aa,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,en,training_regressione_class_m5s,8
19,0.71386,0.726126,0.729991,c,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,en,training_regressione_class_pd,15
9,0.388204,0.80711,0.209789,ac,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,2
12,0.312024,0.931848,0.931527,a,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,en,training_regressione_class_pd,18
19,0.889196,0.560707,0.522832,ca,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,en,training_regressione_class_pd,5
15,0.455401,0.713846,0.333695,ac,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,1
11,0.934156,0.171056,0.717687,b,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,6
5,0.609578,0.085259,0.106792,b,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,en,training_regressione_class_m5s,1
8,0.735604,0.151592,0.492617,bb,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,en,training_regressione_class_m5s,3
8,0.307339,0.507327,0.427177,a,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,en,training_regressione_class_pd,3
11,0.667317,0.417918,0.775761,a,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,en,training_regressione_class_pd,15
13,0.263947,0.564419,0.030288,cc,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,en,training_regressione_class_m5s,15
18,0.020149,0.084738,0.825121,ac,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,en,training_regressione_class_m5s,8
1,0.822426,0.805145,0.449355,ac,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,0
12,0.51588,0.876471,0.721867,ab,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_m5s,1
10,0.756307,0.121651,0.234411,b,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,en,training_regressione_class_m5s,18
19,0.817892,0.726988,0.385846,ab,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_pd,6
11,0.820248,0.772872,0.599112,b,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,en,training_regressione_class_m5s,6
19,0.300224,0.081502,0.344273,b,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,en,training_regressione_class_pd,19
0,0.918659,0.296267,0.348804,b,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,en,training_regressione_class_m5s,6
4,0.11543,0.699827,0.950015,cb,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,en,training_regressione_class_pd,8
8,0.138585,0.673037,0.24055,bb,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,en,training_regressione_class_pd,3
1,0.40426,0.167952,0.598244,ca,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,en,training_regressione_class_pd,12
14,0.809492,0.254296,0.329964,a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,en,training_regressione_class_pd,13
